"gene_id"	"adj.pval"	"iso"	"gene"	"GO"	"kog"	"chr"	"start"	"end"
"comp62829_c0_seq1"	5.43841172095697e-55	"isogroup62829"	"AAA ATPase containing von Willebrand factor type A (vWA) domain ; midasin E=5e-24"	"GO:0000166;GO:0017111"	NA	"Segkk3979_pilon"	256941	259302
"comp9906_c0_seq1"	1.78119057474199e-54	"isogroup9906"	"Ribulose kinase and related carbohydrate kinases ; glycerol kinase [EC:2.7.1.30] E=8e-127"	"GO:0005975;GO:0004370;GO:0006072"	"Carbohydrate transport and metabolism"	"Segkk677_pilon"	150313	161179
"comp16954_c0_seq1"	7.73383838502989e-53	"isogroup16954"	"Predicted N6-adenine RNA methylase ; mRNA (2-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62] E=4e-173"	"GO:0005634;GO:0006139;GO:0008168;GO:0016422"	"RNA processing and modification "	"Segkk659_pilon"	5928	68553
"comp19172_c0_seq1"	1.73495392559911e-51	"isogroup19172"	NA	NA	NA	"Segkk4314_pilon"	11713	11971
"comp23110_c0_seq1"	5.13304863753825e-49	"isogroup23110"	NA	NA	NA	"Segkk333_pilon"	91616	95481
"comp48002_c0_seq1"	1.61088328003304e-48	"isogroup48002"	NA	NA	NA	"Segkk348_pilon"	126318	139368
"comp13176_c0_seq1"	2.35358390140641e-48	"isogroup13176"	"C3H1-type Zn-finger protein"	"GO:0003676"	NA	"Segkk1313_pilon"	28873	41011
"comp561_c0_seq1"	1.18451066007808e-47	"isogroup561"	"Discoidin domain receptor DDR1 ; protein tyrosine phosphatase, receptor type, D [EC:3.1.3.48] E=3e-171"	"GO:0007155;GO:0005001"	"Signal transduction mechanisms"	"Segkk1410_pilon"	0	9402
"comp61723_c0_seq1"	4.7045393892012e-45	"isogroup61723"	NA	NA	NA	"Segkk659_pilon"	40337	56253
"comp11523_c0_seq1"	2.04327024053231e-43	"isogroup11523"	NA	NA	NA	"Segkk3363_pilon"	212950	237976
"comp60804_c0_seq1"	1.32604440031325e-42	"isogroup60804"	NA	NA	NA	"Segkk876_pilon"	26554	26838
"comp3051_c0_seq1"	1.32782398093404e-41	"isogroup3051"	"FOG: Immunoglobin and related proteins ; brain-specific angiogenesis inhibitor 3 E=3e-119"	NA	"Inorganic ion transport and metabolism"	"Segkk3707_pilon"	2903	13274
"comp55116_c0_seq1"	6.70336024912721e-41	"isogroup55116"	"AAA ATPase containing von Willebrand factor type A (vWA) domain ; midasin E=1e-20"	"GO:0000166;GO:0017111"	NA	"Segkk3979_pilon"	248634	254323
"comp38129_c0_seq1"	4.16559883033884e-39	"isogroup38129"	NA	NA	NA	"Segkk3937_pilon"	214074	218178
"comp50288_c0_seq1"	3.99052796933257e-38	"isogroup50288"	NA	NA	NA	"Segkk4193_pilon"	245372	246123
"comp22218_c0_seq1"	6.91099933835449e-37	"isogroup22218"	"Dosage compensation complex, subunit MLE ; ATP-dependent RNA helicase DHX36 [EC:3.6.4.13] E=9e-118"	"GO:0001584;GO:0007186;GO:0016021;GO:0003725;GO:0005622;GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626"	"Transcription"	"Segkk3102_pilon"	78733	113917
"comp29826_c0_seq1"	8.49799636718548e-36	"isogroup29826"	"FOG: Immunoglobin and related proteins ; opioid binding protein/cell adhesion molecule-like E=6e-09"	NA	"Inorganic ion transport and metabolism"	"Segkk647_pilon"	188944	200744
"comp24982_c0_seq1"	2.02766768857191e-35	"isogroup24982"	"Nidogen and related basement membrane protein proteins ; collagen, type VI, alpha E=7e-48"	NA	"Extracellular structures"	"Segkk1692_pilon"	24677	42817
"comp14514_c0_seq1"	2.95809139582058e-35	"isogroup14514"	NA	NA	NA	"Segkk3140_pilon"	12411	67997
"comp40415_c0_seq1"	1.28065538198557e-34	"isogroup40415"	NA	NA	NA	"Segkk3847_pilon"	14289	20381
"comp2487_c0_seq1"	1.67020451414964e-34	"isogroup2487"	"Thioredoxin reductase ; glutathione reductase (NADPH) [EC:1.8.1.7] E=2e-56"	"GO:0006118;GO:0016491;GO:0050660;GO:0015036;GO:0005489;GO:0045454;GO:0005737;GO:0016654;GO:0004362;GO:0006950;GO:0006979"	"Posttranslational modification, protein turnover, chaperones"	"Segkk2596_pilon"	433053	447105
"comp21330_c0_seq1"	3.51179993781132e-34	"isogroup21330"	NA	NA	NA	"Segkk925_pilon"	186910	201595
"comp16686_c0_seq1"	1.38724140712776e-33	"isogroup16686"	NA	NA	NA	"Segkk1415_pilon"	36153	49509
"comp32348_c0_seq1"	1.46227634513427e-33	"isogroup32348"	"Nidogen and related basement membrane protein proteins ; collagen, type XII, alpha E=3e-32"	NA	"Cell wall/membrane/envelope biogenesis"	"Segkk1692_pilon"	50061	67238
"comp19820_c0_seq1"	4.42219824314124e-33	"isogroup19820"	"Long-chain acyl-CoA synthetases (AMP-forming) ; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3] E=4e-88"	"GO:0003824;GO:0008152;GO:0004467"	"Lipid transport and metabolism"	"Segkk2782_pilon"	144357	156188
"comp24306_c0_seq1"	1.18037928150317e-32	"isogroup24306"	NA	NA	NA	"Segkk2826_pilon"	283962	296504
"comp7162_c0_seq1"	1.52024126349104e-32	"isogroup7162"	"FOG: WD40 repeat ; F-box and WD-40 domain protein 7 E=2e-19"	"GO:0016251"	NA	"Segkk282_pilon"	20720	64106
"comp17116_c0_seq1"	1.93528733898003e-32	"isogroup17116"	NA	NA	NA	"Segkk3379_pilon"	73182	94946
"comp4245_c0_seq1"	1.52466404870353e-31	"isogroup4245"	NA	NA	NA	"Segkk4124_pilon"	27594	76907
"comp5062_c0_seq1"	3.34399437670627e-31	"isogroup5062"	"Molecular co-chaperone STI1 ; NF-kappa-B inhibitor-like protein 2 E=3e-10"	"GO:0002226;GO:0045824"	"Posttranslational modification, protein turnover, chaperones"	"Segkk1409_pilon"	14720	15534
"comp11019_c0_seq1"	8.64946310217972e-31	"isogroup11019"	"Kinesin-like protein ; kinesin family member 3/17 E=1e-72"	"GO:0003777;GO:0005524;GO:0005875;GO:0007018"	"Cytoskeleton"	"Segkk3167_pilon"	125257	145650
"comp11556_c0_seq1"	2.17869599214758e-30	"isogroup11556"	NA	NA	NA	"Segkk3008_pilon"	1134	1966
"comp51171_c0_seq1"	7.36502458589124e-30	"isogroup51171"	NA	NA	NA	"Segkk2824_pilon"	7466	7982
"comp9188_c0_seq1"	6.84954220147425e-29	"isogroup9188"	"WW domain-containing protein ; atrophin-1 interacting protein 1 E=5e-16"	NA	NA	"Segkk3134_pilon"	30125	40194
"comp16473_c0_seq1"	8.10957670707488e-29	"isogroup16473"	"Predicted histone tail methylase containing SET domain"	"GO:0040029;GO:0016570"	"Chromatin structure and dynamics"	"Segkk2593_pilon"	18520	23489
"comp12425_c0_seq1"	3.12755321264789e-28	"isogroup12425"	"Molecular chaperone (DnaJ superfamily)"	"GO:0006950;GO:0033554;GO:0061077"	"Posttranslational modification, protein turnover, chaperones"	"Segkk1240_pilon"	2545	10967
"comp40891_c0_seq1"	3.12755321264789e-28	"isogroup40891"	NA	NA	NA	"Segkk3851_pilon"	1689	2727
"comp1_c0_seq1"	2.00041005138758e-27	"isogroup1"	NA	NA	NA	"Segkk3346_pilon"	4728	8223
"comp18151_c0_seq1"	7.83414398022951e-27	"isogroup18151"	NA	NA	NA	"Segkk3505_pilon"	31278	54029
"comp23564_c0_seq1"	1.57519423193526e-26	"isogroup23564"	"Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily ; ATP-binding cassette, subfamily C (CFTR/MRP), member 1 E=9e-51"	"GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111;GO:0005215"	"Secondary metabolites biosynthesis, transport and catabolism"	"Segkk4084_pilon"	48943	66806
"comp6184_c0_seq1"	4.39862045994022e-26	"isogroup6184"	NA	NA	NA	"Segkk1415_pilon"	47124	60741
"comp49603_c0_seq1"	5.84839494244164e-26	"isogroup49603"	"Predicted RNA-binding polyribonucleotide nucleotidyltransferase ; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] E=4e-100"	"GO:0000175;GO:0003723;GO:0006396;GO:0003676;GO:0004654"	NA	"Segkk4331_pilon"	49507	57483
"comp12916_c0_seq1"	1.96693461766357e-25	"isogroup12916"	"FOG: Leucine rich repeat"	NA	NA	"Segkk2359_pilon"	22848	40385
"comp45370_c0_seq1"	7.60555222493907e-25	"isogroup45370"	"FOG: 7 transmembrane receptor ; histamine receptor H2 E=2e-23"	"GO:0001584;GO:0007186;GO:0016021;GO:0004969;GO:0031808"	NA	"Segkk1181_pilon"	10214	125657
"comp7785_c0_seq1"	2.36920153929504e-24	"isogroup7785"	"Vacuolar protein sorting-associated protein ; krueppel-like factor 3/8/12 E=5e-93"	NA	"Intracellular trafficking, secretion, and vesicular transport"	"Segkk2220_pilon"	68363	91700
"comp20808_c0_seq1"	2.44519090094382e-24	"isogroup20808"	"Heterochromatin-associated protein HP1 and related CHROMO domain proteins ; crossover junction endonuclease EME1 [EC:3.1.22.-] E=6e-114"	"GO:0008821"	"Chromatin structure and dynamics"	"Segkk1241_pilon"	26345	38023
"comp354_c0_seq1"	2.45669165164977e-24	"isogroup354"	NA	NA	NA	"Segkk3190_pilon"	101591	108063
"comp27761_c0_seq1"	1.53409384091656e-23	"isogroup27761"	NA	NA	NA	"Segkk2580_pilon"	18940	22681
"comp7473_c0_seq1"	1.69427293306614e-23	"isogroup7473"	"delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41] E=1e-41"	"GO:0004349;GO:0004350"	NA	"Segkk2264_pilon"	4964	62805
"comp10869_c0_seq1"	2.20855627924967e-23	"isogroup10869"	"FOG: Immunoglobin and related proteins ; semaphorin 5 E=4e-53"	"GO:0004222;GO:0004249;GO:0008133;GO:0008319;GO:0030402"	"Inorganic ion transport and metabolism"	"Segkk1093_pilon"	47960	58874
"comp29756_c0_seq1"	2.20855627924967e-23	"isogroup29756"	"Nidogen and related basement membrane protein proteins ; thyroglobulin E=4e-17"	NA	"Extracellular structures"	"Segkk1692_pilon"	45988	47341
"comp47669_c0_seq1"	2.88656920288922e-23	"isogroup47669"	"AAA ATPase containing von Willebrand factor type A (vWA) domain ; midasin E=5e-37"	"GO:0000166;GO:0017111"	NA	"Segkk3979_pilon"	247437	248655
"comp18253_c0_seq1"	3.53621211495819e-23	"isogroup18253"	"Beta-galactosidase ; beta-galactosidase [EC:3.2.1.23] E=8e-95"	"GO:0004565;GO:0005975;GO:0009341"	"Carbohydrate transport and metabolism"	"Segkk2339_pilon"	4067	16080
"comp19641_c0_seq1"	6.16025948531154e-22	"isogroup19641"	"beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain"	NA	"Carbohydrate transport and metabolism"	"Segkk148_pilon"	14055	18448
"comp29218_c0_seq1"	1.08924079681325e-21	"isogroup29218"	NA	NA	NA	"Segkk1386_pilon"	94316	109219
"comp8328_c0_seq1"	2.98913233074407e-21	"isogroup8328"	NA	NA	NA	"Segkk1240_pilon"	12599	18394
"comp15661_c0_seq1"	8.08711663097394e-21	"isogroup15661"	"Trypsin"	NA	"Amino acid transport and metabolism"	"Segkk2898_pilon"	3835	10156
"comp13802_c0_seq1"	1.58008563225112e-20	"isogroup13802"	NA	NA	NA	"Segkk262_pilon"	13651	19312
"comp68105_c0_seq1"	8.21307953630847e-20	"isogroup68105"	NA	NA	NA	"Segkk4177_pilon"	2269	2595
"comp36665_c0_seq1"	8.36530349172592e-20	"isogroup36665"	NA	NA	NA	"Segkk3937_pilon"	218154	218699
"comp22767_c0_seq1"	1.06122468333845e-19	"isogroup22767"	"LRR-containing protein ; NACHT, LRR and PYD domains-containing protein 3 E=6e-24"	NA	NA	"Segkk99_pilon"	7561	10771
"comp14553_c0_seq1"	1.0949826430532e-19	"isogroup14553"	NA	NA	NA	"Segkk1565_pilon"	6500	23781
"comp14639_c0_seq1"	2.50513934607677e-19	"isogroup14639"	"Protein containing adaptin N-terminal region ; elongation factor 3 E=5e-29"	"GO:0003746"	"Translation, ribosomal structure and biogenesis"	"Segkk4223_pilon"	5807	34373
"comp9222_c0_seq1"	7.00059352021812e-19	"isogroup9222"	"Phosphorylase kinase ; phosphorylase kinase alpha/beta subunit E=3e-150"	"GO:0005516;GO:0005977;GO:0004689;GO:0005964;GO:0008607"	"Carbohydrate transport and metabolism"	"Segkk3703_pilon"	608	31228
"comp29747_c0_seq1"	2.01425584657246e-18	"isogroup29747"	NA	NA	NA	"Segkk4314_pilon"	11947	12535
"comp13511_c0_seq1"	3.67200138299983e-18	"isogroup13511"	NA	NA	NA	"Segkk837_pilon"	283956	288904
"comp6293_c0_seq1"	5.64851026849279e-18	"isogroup6293"	"G protein-coupled receptors ; G protein-coupled receptor 133 E=2e-61"	"GO:0007218;GO:0016020;GO:0004930"	"Signal transduction mechanisms"	"Segkk2292_pilon"	43480	56029
"comp17912_c0_seq1"	6.54747774184415e-18	"isogroup17912"	"Polypeptide N-acetylgalactosaminyltransferase ; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41] E=1e-138"	"GO:0004653"	"Posttranslational modification, protein turnover, chaperones"	"Segkk2875_pilon"	66099	79827
"comp54181_c0_seq1"	7.15239505876635e-18	"isogroup54181"	"FOG: Reverse transcriptase"	NA	NA	"Segkk3363_pilon"	237053	237255
"comp4566_c0_seq1"	8.29000541982542e-18	"isogroup4566"	"Zn-finger protein ; ring finger and CHY zinc finger domain-containing protein 1 E=7e-112"	"GO:0004872;GO:0008270"	NA	"Segkk3579_pilon"	28740	34654
"comp14233_c0_seq1"	1.48562951274562e-17	"isogroup14233"	"Meltrins, fertilins and related Zn-dependent metalloproteinases of the ADAMs family ; disintegrin and metalloproteinase domain-containing protein 12 [EC:3.4.24.-] E=2e-148"	"GO:0004222;GO:0006508"	"Posttranslational modification, protein turnover, chaperones"	"Segkk3984_pilon"	20847	50275
"comp20338_c0_seq1"	2.45880495384148e-17	"isogroup20338"	"LRR-containing protein ; NACHT, LRR and PYD domains-containing protein 1 E=5e-76"	NA	NA	"Segkk2889_pilon"	227470	228092
"comp55485_c0_seq1"	2.47616269200233e-17	"isogroup55485"	NA	NA	NA	"Segkk1290_pilon"	290778	291103
"comp18580_c0_seq1"	2.88907354634011e-17	"isogroup18580"	"Fibrillins and related proteins containing Ca2+-binding EGF-like domains ; egf-like module containing, mucin-like, hormone receptor-like 1 E=6e-50"	"GO:0004623;GO:0005509;GO:0016042"	"Signal transduction mechanisms"	"Segkk2410_pilon"	58295	76943
"comp3784_c0_seq1"	2.97348831087564e-17	"isogroup3784"	"Corticosteroid 11-beta-dehydrogenase and related short chain-type dehydrogenases ; retinol dehydrogenase 16 [EC:1.1.1.-] E=3e-105"	"GO:0008152;GO:0016491;GO:0003858;GO:0004745"	"Secondary metabolites biosynthesis, transport and catabolism"	"Segkk1551_pilon"	16898	23397
"comp31106_c0_seq1"	3.61602419812222e-17	"isogroup31106"	NA	NA	NA	"Segkk477_pilon"	115670	116426
"comp2435_c0_seq1"	5.01691389889256e-17	"isogroup2435"	"Neurexin IV ; discoidin domain receptor family member 1 [EC:2.7.10.1] E=9e-50"	"GO:0007155"	"Signal transduction mechanisms"	"Segkk3851_pilon"	44441	84564
"comp56600_c0_seq1"	5.87080134103993e-17	"isogroup56600"	"Fibrillins and related proteins containing Ca2+-binding EGF-like domains"	NA	"Signal transduction mechanisms"	"Segkk1692_pilon"	67218	70159
"comp0_c0_seq1"	1.1614054955479e-16	"isogroup0"	"FOG: Zn-finger"	NA	NA	"Segkk3346_pilon"	3637	4720
"comp3258_c0_seq1"	1.82397629571739e-16	"isogroup3258"	"Protein phosphatase 1, regulatory subunit, and related proteins"	NA	"Signal transduction mechanisms"	"Segkk123_pilon"	35395	80143
"comp1540_c0_seq1"	3.10624924635967e-16	"isogroup1540"	"Gamma-tubulin complex, DGRIP91/SPC98 component"	"GO:0006508;GO:0008237;GO:0008270;GO:0000226;GO:0000922;GO:0005815"	"Cytoskeleton"	"Segkk190_pilon"	200788	291967
"comp24469_c0_seq1"	6.89533655235413e-16	"isogroup24469"	NA	NA	NA	"Segkk1770_pilon"	6303	10732
"comp19896_c0_seq1"	9.00605159134867e-16	"isogroup19896"	"Glycinamide ribonucleotide synthetase (GARS)/Aminoimidazole ribonucleotide synthetase (AIRS)"	"GO:0004637;GO:0009113"	"Nucleotide transport and metabolism"	"Segkk3147_pilon"	1324	40851
"comp2945_c0_seq1"	1.11258954140148e-15	"isogroup2945"	"20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1"	"GO:0004175;GO:0005839;GO:0006511;GO:0004298;GO:0030163;GO:0043248"	"Posttranslational modification, protein turnover, chaperones"	"Segkk3558_pilon"	74785	78105
"comp10952_c0_seq1"	1.44684265580503e-15	"isogroup10952"	"Serine/threonine protein phosphatase ; TAK1-binding protein 1 E=4e-91"	"GO:0003824;GO:0000158;GO:0004721;GO:0004723;GO:0004724;GO:0005963;GO:0008420;GO:0008597;GO:0015071;GO:0017018;GO:0017020;GO:0017023;GO:0030357;GO:0004722"	"Signal transduction mechanisms"	"Segkk2787_pilon"	87704	96779
"comp35241_c0_seq1"	2.03537653448891e-15	"isogroup35241"	NA	NA	NA	"Segkk1567_pilon"	35962	40851
"comp22072_c0_seq1"	2.07085787233126e-15	"isogroup22072"	"NACHT, LRR and PYD domains-containing protein 3 E=3e-45"	NA	NA	"Segkk99_pilon"	10747	11044
"comp22324_c0_seq1"	7.29585005440127e-15	"isogroup22324"	"Ankyrin"	NA	"Cell wall/membrane/envelope biogenesis"	"Segkk2633_pilon"	66200	68059
"comp47395_c0_seq1"	1.03146319436332e-14	"isogroup47395"	NA	NA	NA	"Segkk3456_pilon"	95158	95790
"comp5499_c0_seq1"	1.11968547976922e-14	"isogroup5499"	"WD repeat-containing protein 23 E=9e-148"	NA	"Transcription"	"Segkk3764_pilon"	28434	42286
"comp63417_c0_seq1"	1.53215399157601e-14	"isogroup63417"	NA	NA	NA	"Segkk901_pilon"	0	587
"comp57344_c0_seq1"	1.79620884497387e-14	"isogroup57344"	NA	NA	NA	"Segkk1415_pilon"	64212	64507
"comp63844_c0_seq1"	2.77223503409913e-14	"isogroup63844"	NA	NA	NA	"Segkk876_pilon"	24206	24512
"comp7997_c0_seq1"	2.8225755849947e-14	"isogroup7997"	"C-type lectin ; selectin, platele E=2e-72"	"GO:0007155;GO:0005529;GO:0002226;GO:0001867"	"Signal transduction mechanisms"	"Segkk1263_pilon"	557943	566292
"comp62894_c0_seq1"	3.41914236400175e-14	"isogroup62894"	"FOG: Reverse transcriptase"	NA	NA	"Segkk3363_pilon"	236205	236646
"comp44155_c0_seq1"	5.92494689641325e-14	"isogroup44155"	NA	NA	NA	"Segkk1275_pilon"	85155	85399
"comp77842_c0_seq1"	6.30471870421851e-14	"isogroup77842"	NA	NA	NA	"Segkk1347_pilon"	44899	45691
"comp9982_c0_seq1"	1.0527384869851e-13	"isogroup9982"	"Mitochondrial/chloroplast ribosomal protein S11 ; small subunit ribosomal protein S11 E=2e-68"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0005763;GO:0022627"	"Translation, ribosomal structure and biogenesis"	"Segkk525_pilon"	33353	38062
"comp84860_c0_seq1"	1.46426451382459e-13	"isogroup84860"	NA	NA	NA	"Segkk817_pilon"	69100	81074
"comp15488_c0_seq1"	1.96192688520801e-13	"isogroup15488"	NA	NA	NA	"Segkk4106_pilon"	104433	106120
"comp7550_c0_seq1"	1.96554242378623e-13	"isogroup7550"	"FOG: Leucine rich repeat"	NA	NA	"Segkk2359_pilon"	15759	48661
"comp57288_c0_seq1"	2.14949295593176e-13	"isogroup57288"	NA	NA	NA	"Segkk419_pilon"	73946	77609
"comp10754_c0_seq1"	2.35272813113666e-13	"isogroup10754"	"Ras-related GTPase"	NA	NA	"Segkk3343_pilon"	11627	13252
"comp42494_c0_seq1"	3.03984367242636e-13	"isogroup42494"	NA	NA	NA	"Segkk3354_pilon"	52604	53218
"comp30258_c0_seq1"	3.08851837998768e-13	"isogroup30258"	"Notch E=4e-15"	"GO:0005198;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808"	NA	"Segkk1157_pilon"	96825	101834
"comp24342_c0_seq1"	4.09176554615483e-13	"isogroup24342"	NA	NA	NA	"Segkk782_pilon"	182524	189320
"comp12537_c0_seq1"	4.36520038637214e-13	"isogroup12537"	"Fibrillins and related proteins containing Ca2+-binding EGF-like domains ; maltase-glucoamylase [EC:3.2.1.20 3.2.1.3] E=3e-159"	"GO:0004558;GO:0004339"	"Signal transduction mechanisms"	"Segkk3048_pilon"	65301	67291
"comp4951_c0_seq1"	4.36520038637214e-13	"isogroup4951"	"Alpha-catenin ; vinculin E=2e-180"	"GO:0005198;GO:0007155;GO:0015629;GO:0045296"	"Extracellular structures"	"Segkk2114_pilon"	63300	76970
"comp20728_c0_seq1"	4.97587954748905e-13	"isogroup20728"	"Zinc-binding oxidoreductase ; NADPH2:quinone reductase [EC:1.6.5.5] E=1e-82"	"GO:0008270;GO:0016491;GO:0003960"	"Energy production and conversion"	"Segkk1412_pilon"	96257	105137
"comp53355_c0_seq1"	4.97587954748905e-13	"isogroup53355"	NA	NA	NA	"Segkk3643_pilon"	288036	288266
"comp2366_c0_seq1"	5.05168048835312e-13	"isogroup2366"	"Vacuolar assembly/sorting protein VPS9 ; 26S proteasome non-ATPase regulatory subunit 10 E=1e-78"	"GO:0030163;GO:0043248"	"Intracellular trafficking, secretion, and vesicular transport"	"Segkk4310_pilon"	126231	138033
"comp1196_c0_seq1"	5.85867106779497e-13	"isogroup1196"	"Membrane-associated protein FER-1 and related ferlins, contain multiple C2 domains ; DNA-directed RNA polymerase III subunit RPC6 E=1e-05"	"GO:0003899"	"Cell wall/membrane/envelope biogenesis"	"Segkk2432_pilon"	46737	85180
"comp26310_c0_seq1"	7.66661952552749e-13	"isogroup26310"	NA	NA	NA	"Segkk1707_pilon"	27862	30534
"comp13057_c0_seq1"	7.73197404219685e-13	"isogroup13057"	"Peroxidase/oxygenase ; carboxypeptidase N regulatory subunit E=2e-176"	NA	NA	"Segkk1407_pilon"	886	10972
"comp1728_c0_seq1"	7.73197404219685e-13	"isogroup1728"	"K-homology type RNA binding proteins ; far upstream element-binding protein E=8e-130"	"GO:0005351;GO:0009401;GO:0003676"	"RNA processing and modification "	"Segkk1960_pilon"	7072	10747
"comp1905_c0_seq1"	7.73197404219685e-13	"isogroup1905"	"Protein tyrosine phosphatase IVA1 ; cell division cycle 14 [EC:3.1.3.48] E=1e-06"	"GO:0004721;GO:0006470;GO:0004725;GO:0004727;GO:0051301"	"Signal transduction mechanisms"	"Segkk555_pilon"	352898	362208
"comp31963_c0_seq1"	8.993216467373e-13	"isogroup31963"	NA	NA	NA	"Segkk2501_pilon"	9089	9434
"comp16816_c0_seq1"	1.00006001456206e-12	"isogroup16816"	"sulfatase modifying factor 1 E=1e-05"	NA	NA	"Segkk3330_pilon"	51292	60571
"comp15438_c0_seq1"	1.05526975673377e-12	"isogroup15438"	NA	NA	NA	"Segkk4106_pilon"	104717	106528
"comp15103_c0_seq1"	1.28015021908368e-12	"isogroup15103"	"N-acetylglucosaminyltransferase complex, subunit PIG-A/SPT14, required for phosphatidylinositol biosynthesis/Sulfolipid synthase ; alpha-1,6-mannosyltransferase [EC:2.4.1.-] E=1e-70"	"GO:0009058"	"Posttranslational modification, protein turnover, chaperones"	"Segkk1514_pilon"	120929	126044
"comp66223_c0_seq1"	1.34558358561805e-12	"isogroup66223"	"FOG: Reverse transcriptase"	NA	NA	"Segkk3363_pilon"	236792	237077
"comp35836_c0_seq1"	2.40938892390548e-12	"isogroup35836"	NA	NA	NA	"Segkk1157_pilon"	94189	95284
"comp9097_c0_seq1"	2.64768120956731e-12	"isogroup9097"	"Predicted translation elongation factor ; elongation factor 1-alpha E=9e-157"	"GO:0005525;GO:0006412;GO:0003924;GO:0008547;GO:0003746"	"Translation, ribosomal structure and biogenesis"	"Segkk779_pilon"	90723	104324
"comp22773_c0_seq1"	7.96457237923636e-12	"isogroup22773"	NA	NA	NA	"Segkk1408_pilon"	8429	15636
"comp52412_c0_seq1"	8.55337667361028e-12	"isogroup52412"	NA	NA	NA	"Segkk3356_pilon"	21520	23150
"comp10973_c0_seq1"	1.38671540716566e-11	"isogroup10973"	"Heterogeneous nuclear ribonucleoprotein L (contains RRM repeats) ; heterogeneous nuclear ribonucleoprotein L E=1e-47"	"GO:0003676"	"RNA processing and modification "	"Segkk119_pilon"	98050	105712
"comp3093_c0_seq1"	1.44240020894714e-11	"isogroup3093"	"HMG-box transcription factor ; transcription factor SOX7/8/9/10/18 (SOX group E/F) E=7e-35"	"GO:0003677;GO:0006355"	"Transcription"	"Segkk2933_pilon"	14667	26257
"comp70186_c0_seq1"	1.7926038439245e-11	"isogroup70186"	"Mab-21-like cell fate specification proteins"	NA	"Signal transduction mechanisms"	"Segkk2322_pilon"	497689	498250
