"gene_id"	"adj.pval"	"iso"	"gene"	"GO"	"kog"	"chr"	"start"	"end"
"comp34021_c0_seq1"	9.45902205338461e-54	"isogroup34021"	NA	NA	NA	"Segkk3727_pilon"	12587	12938
"comp9906_c0_seq1"	1.46463836004514e-51	"isogroup9906"	"Ribulose kinase and related carbohydrate kinases ; glycerol kinase [EC:2.7.1.30] E=8e-127"	"GO:0005975;GO:0004370;GO:0006072"	"Carbohydrate transport and metabolism"	"Segkk677_pilon"	150313	161179
"comp678_c0_seq1"	3.10095432455487e-51	"isogroup678"	"FOG: Immunoglobin and related proteins ; brain-specific angiogenesis inhibitor 3 E=2e-43"	NA	"Inorganic ion transport and metabolism"	"Segkk1799_pilon"	81804	91247
"comp14992_c0_seq1"	7.99806548415972e-51	"isogroup14992"	NA	NA	NA	"Segkk3363_pilon"	218235	243345
"comp13176_c0_seq1"	9.36617316611046e-51	"isogroup13176"	"C3H1-type Zn-finger protein"	"GO:0003676"	NA	"Segkk1313_pilon"	28873	41011
"comp19172_c0_seq1"	9.96573628562341e-51	"isogroup19172"	NA	NA	NA	"Segkk4314_pilon"	11713	11971
"comp48002_c0_seq1"	7.3340478906214e-47	"isogroup48002"	NA	NA	NA	"Segkk348_pilon"	126318	139368
"comp561_c0_seq1"	1.070081771956e-45	"isogroup561"	"Discoidin domain receptor DDR1 ; protein tyrosine phosphatase, receptor type, D [EC:3.1.3.48] E=3e-171"	"GO:0007155;GO:0005001"	"Signal transduction mechanisms"	"Segkk1410_pilon"	0	9402
"comp62829_c0_seq1"	3.15501975039977e-45	"isogroup62829"	"AAA ATPase containing von Willebrand factor type A (vWA) domain ; midasin E=5e-24"	"GO:0000166;GO:0017111"	NA	"Segkk3979_pilon"	256941	259302
"comp23110_c0_seq1"	6.50556306365287e-45	"isogroup23110"	NA	NA	NA	"Segkk333_pilon"	91616	95481
"comp3051_c0_seq1"	5.43705946927323e-43	"isogroup3051"	"FOG: Immunoglobin and related proteins ; brain-specific angiogenesis inhibitor 3 E=3e-119"	NA	"Inorganic ion transport and metabolism"	"Segkk3707_pilon"	2903	13274
"comp16954_c0_seq1"	1.72883375701752e-39	"isogroup16954"	"Predicted N6-adenine RNA methylase ; mRNA (2-O-methyladenosine-N6-)-methyltransferase [EC:2.1.1.62] E=4e-173"	"GO:0005634;GO:0006139;GO:0008168;GO:0016422"	"RNA processing and modification "	"Segkk659_pilon"	5928	68553
"comp11523_c0_seq1"	1.58211533221322e-38	"isogroup11523"	NA	NA	NA	"Segkk3363_pilon"	212950	237976
"comp40415_c0_seq1"	4.85527152699652e-38	"isogroup40415"	NA	NA	NA	"Segkk3847_pilon"	14289	20381
"comp61723_c0_seq1"	8.03496455876359e-38	"isogroup61723"	NA	NA	NA	"Segkk659_pilon"	40337	56253
"comp38129_c0_seq1"	1.10468803694156e-37	"isogroup38129"	NA	NA	NA	"Segkk3937_pilon"	214074	218178
"comp16686_c0_seq1"	5.72239282505376e-37	"isogroup16686"	NA	NA	NA	"Segkk1415_pilon"	36153	49509
"comp55116_c0_seq1"	3.40701079907131e-36	"isogroup55116"	"AAA ATPase containing von Willebrand factor type A (vWA) domain ; midasin E=1e-20"	"GO:0000166;GO:0017111"	NA	"Segkk3979_pilon"	248634	254323
"comp19820_c0_seq1"	1.70201159334872e-35	"isogroup19820"	"Long-chain acyl-CoA synthetases (AMP-forming) ; long-chain-fatty-acid--CoA ligase ACSBG [EC:6.2.1.3] E=4e-88"	"GO:0003824;GO:0008152;GO:0004467"	"Lipid transport and metabolism"	"Segkk2782_pilon"	144357	156188
"comp5062_c0_seq1"	6.98194808304993e-35	"isogroup5062"	"Molecular co-chaperone STI1 ; NF-kappa-B inhibitor-like protein 2 E=3e-10"	"GO:0002226;GO:0045824"	"Posttranslational modification, protein turnover, chaperones"	"Segkk1409_pilon"	14720	15534
"comp24982_c0_seq1"	7.81381600729112e-35	"isogroup24982"	"Nidogen and related basement membrane protein proteins ; collagen, type VI, alpha E=7e-48"	NA	"Cell wall/membrane/envelope biogenesis"	"Segkk1692_pilon"	24677	42817
"comp51171_c0_seq1"	1.05714743945783e-33	"isogroup51171"	NA	NA	NA	"Segkk2824_pilon"	7466	7982
"comp29826_c0_seq1"	5.76741805811304e-32	"isogroup29826"	"FOG: Immunoglobin and related proteins ; opioid binding protein/cell adhesion molecule-like E=6e-09"	NA	"Inorganic ion transport and metabolism"	"Segkk647_pilon"	188944	200744
"comp7162_c0_seq1"	7.14491660127135e-32	"isogroup7162"	"FOG: WD40 repeat ; F-box and WD-40 domain protein 7 E=2e-19"	"GO:0016251"	NA	"Segkk282_pilon"	20720	64106
"comp22218_c0_seq1"	9.35319755655306e-32	"isogroup22218"	"Dosage compensation complex, subunit MLE ; ATP-dependent RNA helicase DHX36 [EC:3.6.4.13] E=9e-118"	"GO:0001584;GO:0007186;GO:0016021;GO:0003725;GO:0005622;GO:0005524;GO:0008026;GO:0003676;GO:0004386;GO:0004003;GO:0004004;GO:0008094;GO:0008186;GO:0015462;GO:0015616;GO:0016887;GO:0017116;GO:0042623;GO:0042624;GO:0042625;GO:0042626"	"Transcription"	"Segkk3102_pilon"	78733	113917
"comp9188_c0_seq1"	2.90671756664065e-31	"isogroup9188"	"WW domain-containing protein ; atrophin-1 interacting protein 1 E=5e-16"	NA	NA	"Segkk3134_pilon"	30125	40194
"comp11556_c0_seq1"	1.19809119401305e-30	"isogroup11556"	NA	NA	NA	"Segkk3008_pilon"	1134	1966
"comp16473_c0_seq1"	2.75681478416077e-30	"isogroup16473"	"Predicted histone tail methylase containing SET domain"	"GO:0040029;GO:0016570"	"Chromatin structure and dynamics"	"Segkk2593_pilon"	18520	23489
"comp14553_c0_seq1"	7.04922762698178e-30	"isogroup14553"	NA	NA	NA	"Segkk1565_pilon"	6500	23781
"comp23564_c0_seq1"	1.47528867707867e-29	"isogroup23564"	"Multidrug resistance-associated protein/mitoxantrone resistance protein, ABC superfamily ; ATP-binding cassette, subfamily C (CFTR/MRP), member 1 E=9e-51"	"GO:0005524;GO:0006810;GO:0016021;GO:0042626;GO:0016887;GO:0000166;GO:0017111;GO:0005215"	"Secondary metabolites biosynthesis, transport and catabolism"	"Segkk4084_pilon"	48943	66806
"comp12425_c0_seq1"	2.44243454312138e-29	"isogroup12425"	"Molecular chaperone (DnaJ superfamily)"	"GO:0006950;GO:0033554;GO:0061077"	"Posttranslational modification, protein turnover, chaperones"	"Segkk1240_pilon"	2545	10967
"comp17116_c0_seq1"	5.30919829218523e-29	"isogroup17116"	NA	NA	NA	"Segkk3379_pilon"	73182	94946
"comp32348_c0_seq1"	7.09047387153061e-29	"isogroup32348"	"Nidogen and related basement membrane protein proteins ; collagen, type XII, alpha E=3e-32"	NA	"Extracellular structures"	"Segkk1692_pilon"	50061	67238
"comp6184_c0_seq1"	8.93302321480113e-29	"isogroup6184"	NA	NA	NA	"Segkk1415_pilon"	47124	60741
"comp18151_c0_seq1"	1.10450689655831e-28	"isogroup18151"	NA	NA	NA	"Segkk3505_pilon"	31278	54029
"comp60804_c0_seq1"	3.07757565973285e-28	"isogroup60804"	NA	NA	NA	"Segkk876_pilon"	26554	26838
"comp24306_c0_seq1"	4.96916201199693e-28	"isogroup24306"	NA	NA	NA	"Segkk2826_pilon"	283962	296504
"comp354_c0_seq1"	1.26595937859979e-27	"isogroup354"	NA	NA	NA	"Segkk3190_pilon"	101591	108063
"comp14514_c0_seq1"	1.99353259552848e-27	"isogroup14514"	NA	NA	NA	"Segkk3140_pilon"	12411	67997
"comp50288_c0_seq1"	5.2751586526975e-27	"isogroup50288"	NA	NA	NA	"Segkk4193_pilon"	245372	246123
"comp2487_c0_seq1"	5.81144406576856e-27	"isogroup2487"	"Thioredoxin reductase ; glutathione reductase (NADPH) [EC:1.8.1.7] E=2e-56"	"GO:0006118;GO:0016491;GO:0050660;GO:0015036;GO:0005489;GO:0045454;GO:0005737;GO:0016654;GO:0004362;GO:0006950;GO:0006979"	"Posttranslational modification, protein turnover, chaperones"	"Segkk2596_pilon"	433053	447105
"comp11019_c0_seq1"	6.13123092347155e-27	"isogroup11019"	"Kinesin-like protein ; kinesin family member 3/17 E=1e-72"	"GO:0003777;GO:0005524;GO:0005875;GO:0007018"	"Cytoskeleton"	"Segkk3167_pilon"	125257	145650
"comp40891_c0_seq1"	2.19349020775948e-26	"isogroup40891"	NA	NA	NA	"Segkk3851_pilon"	1689	2727
"comp4245_c0_seq1"	2.43624702737271e-26	"isogroup4245"	NA	NA	NA	"Segkk4124_pilon"	27594	76907
"comp21330_c0_seq1"	6.87620396674206e-25	"isogroup21330"	NA	NA	NA	"Segkk925_pilon"	186910	201595
"comp12916_c0_seq1"	4.77541194110871e-24	"isogroup12916"	"FOG: Leucine rich repeat"	NA	NA	"Segkk2359_pilon"	22848	40385
"comp18253_c0_seq1"	1.35175290901636e-23	"isogroup18253"	"Beta-galactosidase ; beta-galactosidase [EC:3.2.1.23] E=8e-95"	"GO:0004565;GO:0005975;GO:0009341"	"Carbohydrate transport and metabolism"	"Segkk2339_pilon"	4067	16080
"comp45370_c0_seq1"	3.06754636686912e-23	"isogroup45370"	"FOG: 7 transmembrane receptor ; histamine receptor H2 E=2e-23"	"GO:0001584;GO:0007186;GO:0016021;GO:0004969;GO:0031808"	NA	"Segkk1181_pilon"	10214	125657
"comp27761_c0_seq1"	9.02506857508782e-23	"isogroup27761"	NA	NA	NA	"Segkk2580_pilon"	18940	22681
"comp47669_c0_seq1"	2.74160506758379e-22	"isogroup47669"	"AAA ATPase containing von Willebrand factor type A (vWA) domain ; midasin E=5e-37"	"GO:0000166;GO:0017111"	NA	"Segkk3979_pilon"	247437	248655
"comp29756_c0_seq1"	7.28955571055869e-22	"isogroup29756"	"Nidogen and related basement membrane protein proteins ; thyroglobulin E=4e-17"	NA	"Cell wall/membrane/envelope biogenesis"	"Segkk1692_pilon"	45988	47341
"comp10869_c0_seq1"	1.06394873043615e-21	"isogroup10869"	"FOG: Immunoglobin and related proteins ; semaphorin 5 E=4e-53"	"GO:0004222;GO:0004249;GO:0008133;GO:0008319;GO:0030402"	"Inorganic ion transport and metabolism"	"Segkk1093_pilon"	47960	58874
"comp7473_c0_seq1"	1.06394873043615e-21	"isogroup7473"	"delta-1-pyrroline-5-carboxylate synthetase [EC:2.7.2.11 1.2.1.41] E=1e-41"	"GO:0004349;GO:0004350"	NA	"Segkk2264_pilon"	4964	62805
"comp29218_c0_seq1"	5.1200519663389e-21	"isogroup29218"	NA	NA	NA	"Segkk1386_pilon"	94316	109219
"comp20808_c0_seq1"	2.38266992238168e-20	"isogroup20808"	"Heterochromatin-associated protein HP1 and related CHROMO domain proteins ; crossover junction endonuclease EME1 [EC:3.1.22.-] E=6e-114"	"GO:0008821"	"Chromatin structure and dynamics"	"Segkk1241_pilon"	26345	38023
"comp7785_c0_seq1"	3.47446061302445e-20	"isogroup7785"	"Vacuolar protein sorting-associated protein ; krueppel-like factor 3/8/12 E=5e-93"	NA	"Intracellular trafficking, secretion, and vesicular transport"	"Segkk2220_pilon"	68363	91700
"comp54181_c0_seq1"	4.70873288306912e-20	"isogroup54181"	"FOG: Reverse transcriptase"	NA	NA	"Segkk3363_pilon"	237053	237255
"comp49603_c0_seq1"	5.6153640323099e-20	"isogroup49603"	"Predicted RNA-binding polyribonucleotide nucleotidyltransferase ; polyribonucleotide nucleotidyltransferase [EC:2.7.7.8] E=4e-100"	"GO:0000175;GO:0003723;GO:0006396;GO:0003676;GO:0004654"	NA	"Segkk4331_pilon"	49507	57483
"comp19641_c0_seq1"	6.39404357876286e-20	"isogroup19641"	"beta-1,6-N-acetylglucosaminyltransferase, contains WSC domain"	NA	"Carbohydrate transport and metabolism"	"Segkk148_pilon"	14055	18448
"comp17912_c0_seq1"	7.22464350619986e-20	"isogroup17912"	"Polypeptide N-acetylgalactosaminyltransferase ; polypeptide N-acetylgalactosaminyltransferase [EC:2.4.1.41] E=1e-138"	"GO:0004653"	"Posttranslational modification, protein turnover, chaperones"	"Segkk2875_pilon"	66099	79827
"comp1540_c0_seq1"	1.3918769035863e-19	"isogroup1540"	"Gamma-tubulin complex, DGRIP91/SPC98 component"	"GO:0006508;GO:0008237;GO:0008270;GO:0000226;GO:0000922;GO:0005815"	"Cytoskeleton"	"Segkk190_pilon"	200788	291967
"comp36665_c0_seq1"	1.54071864094073e-19	"isogroup36665"	NA	NA	NA	"Segkk3937_pilon"	218154	218699
"comp68105_c0_seq1"	2.42559601387378e-19	"isogroup68105"	NA	NA	NA	"Segkk4177_pilon"	2269	2595
"comp14639_c0_seq1"	2.48828034531065e-19	"isogroup14639"	"Protein containing adaptin N-terminal region ; elongation factor 3 E=5e-29"	"GO:0003746"	"Translation, ribosomal structure and biogenesis"	"Segkk4223_pilon"	5807	34373
"comp29747_c0_seq1"	4.44545788163714e-19	"isogroup29747"	NA	NA	NA	"Segkk4314_pilon"	11947	12535
"comp8328_c0_seq1"	1.18468316849651e-18	"isogroup8328"	NA	NA	NA	"Segkk1240_pilon"	12599	18394
"comp22767_c0_seq1"	4.84439684059482e-18	"isogroup22767"	"LRR-containing protein ; NACHT, LRR and PYD domains-containing protein 3 E=6e-24"	NA	NA	"Segkk99_pilon"	7561	10771
"comp15661_c0_seq1"	5.18074609541589e-18	"isogroup15661"	"Trypsin"	NA	"Amino acid transport and metabolism"	"Segkk2898_pilon"	3835	10156
"comp15103_c0_seq1"	3.5234233954829e-17	"isogroup15103"	"N-acetylglucosaminyltransferase complex, subunit PIG-A/SPT14, required for phosphatidylinositol biosynthesis/Sulfolipid synthase ; alpha-1,6-mannosyltransferase [EC:2.4.1.-] E=1e-70"	"GO:0009058"	"Cell wall/membrane/envelope biogenesis"	"Segkk1514_pilon"	120929	126044
"comp13802_c0_seq1"	6.49911222711095e-17	"isogroup13802"	NA	NA	NA	"Segkk262_pilon"	13651	19312
"comp6293_c0_seq1"	8.31019671131529e-17	"isogroup6293"	"G protein-coupled receptors ; G protein-coupled receptor 133 E=2e-61"	"GO:0007218;GO:0016020;GO:0004930"	"Signal transduction mechanisms"	"Segkk2292_pilon"	43480	56029
"comp70186_c0_seq1"	1.98275692129166e-16	"isogroup70186"	"Mab-21-like cell fate specification proteins"	NA	"Signal transduction mechanisms"	"Segkk2322_pilon"	497689	498250
"comp13511_c0_seq1"	2.97435148987695e-16	"isogroup13511"	NA	NA	NA	"Segkk837_pilon"	283956	288904
"comp10754_c0_seq1"	3.86340234307416e-16	"isogroup10754"	"Ras-related GTPase"	NA	NA	"Segkk3343_pilon"	11627	13252
"comp1196_c0_seq1"	5.12445753449009e-16	"isogroup1196"	"Membrane-associated protein FER-1 and related ferlins, contain multiple C2 domains ; DNA-directed RNA polymerase III subunit RPC6 E=1e-05"	"GO:0003899"	"Cell wall/membrane/envelope biogenesis"	"Segkk2432_pilon"	46737	85180
"comp15488_c0_seq1"	5.43432402670933e-16	"isogroup15488"	NA	NA	NA	"Segkk4106_pilon"	104433	106120
"comp5978_c0_seq1"	7.00100477075973e-16	"isogroup5978"	"phosphoinositide-3-kinase, regulatory subunit 4, p150 [EC:2.7.11.1] E=2e-93"	NA	NA	"Segkk1514_pilon"	36916	150396
"comp11682_c0_seq1"	8.20750641159391e-16	"isogroup11682"	"Ubiquitin C-terminal hydrolase"	"GO:0004221;GO:0007268;GO:0048167"	"Posttranslational modification, protein turnover, chaperones"	"Segkk2201_pilon"	398118	399775
"comp14233_c0_seq1"	8.20750641159391e-16	"isogroup14233"	"Meltrins, fertilins and related Zn-dependent metalloproteinases of the ADAMs family ; disintegrin and metalloproteinase domain-containing protein 12 [EC:3.4.24.-] E=2e-148"	"GO:0004222;GO:0006508"	"Posttranslational modification, protein turnover, chaperones"	"Segkk3984_pilon"	20847	50275
"comp35241_c0_seq1"	8.20750641159391e-16	"isogroup35241"	NA	NA	NA	"Segkk1567_pilon"	35962	40851
"comp11881_c0_seq1"	8.33145995587823e-16	"isogroup11881"	NA	NA	NA	"Segkk3053_pilon"	23435	28989
"comp376_c0_seq1"	1.74318453648714e-15	"isogroup376"	"LRR-containing protein ; nucleotide-binding oligomerization domain-containing protein 1 E=1e-29"	NA	NA	"Segkk1514_pilon"	116810	160201
"comp63417_c0_seq1"	1.74318453648714e-15	"isogroup63417"	NA	NA	NA	"Segkk901_pilon"	0	587
"comp768_c0_seq1"	1.74318453648714e-15	"isogroup768"	"LRR-containing protein"	"GO:0000166;GO:0017111"	NA	"Segkk1514_pilon"	116481	163645
"comp22072_c0_seq1"	4.90797141918858e-15	"isogroup22072"	"NACHT, LRR and PYD domains-containing protein 3 E=3e-45"	NA	NA	"Segkk99_pilon"	10747	11044
"comp22324_c0_seq1"	6.78438768306541e-15	"isogroup22324"	"Ankyrin"	NA	"Cell wall/membrane/envelope biogenesis"	"Segkk2633_pilon"	66200	68059
"comp62894_c0_seq1"	9.21207292307078e-15	"isogroup62894"	"FOG: Reverse transcriptase"	NA	NA	"Segkk3363_pilon"	236205	236646
"comp56600_c0_seq1"	9.52950077600766e-15	"isogroup56600"	"Fibrillins and related proteins containing Ca2+-binding EGF-like domains"	NA	"Signal transduction mechanisms"	"Segkk1692_pilon"	67218	70159
"comp30258_c0_seq1"	1.2056656953183e-14	"isogroup30258"	"Notch E=4e-15"	"GO:0005198;GO:0004252;GO:0004289;GO:0008132;GO:0008243;GO:0008991;GO:0016808"	NA	"Segkk1157_pilon"	96825	101834
"comp5499_c0_seq1"	1.40997698132475e-14	"isogroup5499"	"WD repeat-containing protein 23 E=9e-148"	NA	"Transcription"	"Segkk3764_pilon"	28434	42286
"comp15438_c0_seq1"	1.4214044118107e-14	"isogroup15438"	NA	NA	NA	"Segkk4106_pilon"	104717	106528
"comp55485_c0_seq1"	1.4214044118107e-14	"isogroup55485"	NA	NA	NA	"Segkk1290_pilon"	290778	291103
"comp20338_c0_seq1"	2.00358043371155e-14	"isogroup20338"	"LRR-containing protein ; NACHT, LRR and PYD domains-containing protein 1 E=5e-76"	NA	NA	"Segkk2889_pilon"	227470	228092
"comp7550_c0_seq1"	3.13888697075253e-14	"isogroup7550"	"FOG: Leucine rich repeat"	NA	NA	"Segkk2359_pilon"	15759	48661
"comp19896_c0_seq1"	4.02412710183544e-14	"isogroup19896"	"Glycinamide ribonucleotide synthetase (GARS)/Aminoimidazole ribonucleotide synthetase (AIRS)"	"GO:0004637;GO:0009113"	"Nucleotide transport and metabolism"	"Segkk3147_pilon"	1324	40851
"comp35836_c0_seq1"	8.70284483280446e-14	"isogroup35836"	NA	NA	NA	"Segkk1157_pilon"	94189	95284
"comp93290_c0_seq1"	1.0285137981178e-13	"isogroup93290"	NA	NA	NA	"Segkk1288_pilon"	6590	154936
"comp9222_c0_seq1"	1.21311864808604e-13	"isogroup9222"	"Phosphorylase kinase ; phosphorylase kinase alpha/beta subunit E=3e-150"	"GO:0005516;GO:0005977;GO:0004689;GO:0005964;GO:0008607"	"Carbohydrate transport and metabolism"	"Segkk3703_pilon"	608	31228
"comp3093_c0_seq1"	1.65166965589004e-13	"isogroup3093"	"HMG-box transcription factor ; transcription factor SOX7/8/9/10/18 (SOX group E/F) E=7e-35"	"GO:0003677;GO:0006355"	"Transcription"	"Segkk2933_pilon"	14667	26257
"comp31963_c0_seq1"	1.79836435489165e-13	"isogroup31963"	NA	NA	NA	"Segkk2501_pilon"	9089	9434
"comp9982_c0_seq1"	1.7985386447868e-13	"isogroup9982"	"Mitochondrial/chloroplast ribosomal protein S11 ; small subunit ribosomal protein S11 E=2e-68"	"GO:0003735;GO:0005622;GO:0005840;GO:0006412;GO:0005763;GO:0022627"	"Translation, ribosomal structure and biogenesis"	"Segkk525_pilon"	33353	38062
"comp31106_c0_seq1"	1.96433257329472e-13	"isogroup31106"	NA	NA	NA	"Segkk477_pilon"	115670	116426
"comp19463_c0_seq1"	2.00672260446614e-13	"isogroup19463"	NA	NA	NA	"Segkk2853_pilon"	36487	202782
"comp1728_c0_seq1"	2.30764938287408e-13	"isogroup1728"	"K-homology type RNA binding proteins ; far upstream element-binding protein E=8e-130"	"GO:0005351;GO:0009401;GO:0003676"	"RNA processing and modification "	"Segkk1960_pilon"	7072	10747
"comp3784_c0_seq1"	3.40606715020316e-13	"isogroup3784"	"Corticosteroid 11-beta-dehydrogenase and related short chain-type dehydrogenases ; retinol dehydrogenase 16 [EC:1.1.1.-] E=3e-105"	"GO:0008152;GO:0016491;GO:0003858;GO:0004745"	"Secondary metabolites biosynthesis, transport and catabolism"	"Segkk1551_pilon"	16898	23397
"comp66223_c0_seq1"	3.97979173034262e-13	"isogroup66223"	"FOG: Reverse transcriptase"	NA	NA	"Segkk3363_pilon"	236792	237077
"comp71162_c0_seq1"	4.09321910314666e-13	"isogroup71162"	NA	NA	NA	"Segkk1832_pilon"	811	988
"comp7997_c0_seq1"	4.1559498787622e-13	"isogroup7997"	"C-type lectin ; selectin, platele E=2e-72"	"GO:0007155;GO:0005529;GO:0002226;GO:0001867"	"Defense mechanisms"	"Segkk1263_pilon"	557943	566292
"comp2366_c0_seq1"	4.69693182908981e-13	"isogroup2366"	"Vacuolar assembly/sorting protein VPS9 ; 26S proteasome non-ATPase regulatory subunit 10 E=1e-78"	"GO:0030163;GO:0043248"	"Intracellular trafficking, secretion, and vesicular transport"	"Segkk4310_pilon"	126231	138033
"comp2435_c0_seq1"	5.09395353182376e-13	"isogroup2435"	"Neurexin IV ; discoidin domain receptor family member 1 [EC:2.7.10.1] E=9e-50"	"GO:0007155"	"Signal transduction mechanisms"	"Segkk3851_pilon"	44441	84564
"comp2945_c0_seq1"	5.7641817027994e-13	"isogroup2945"	"20S proteasome, regulatory subunit beta type PSMB7/PSMB10/PUP1"	"GO:0004175;GO:0005839;GO:0006511;GO:0004298;GO:0030163;GO:0043248"	"Posttranslational modification, protein turnover, chaperones"	"Segkk3558_pilon"	74785	78105
"comp3258_c0_seq1"	7.14129438431873e-13	"isogroup3258"	"Protein phosphatase 1, regulatory subunit, and related proteins"	NA	"Signal transduction mechanisms"	"Segkk123_pilon"	35395	80143
"comp10952_c0_seq1"	7.26873252485467e-13	"isogroup10952"	"Serine/threonine protein phosphatase ; TAK1-binding protein 1 E=4e-91"	"GO:0003824;GO:0000158;GO:0004721;GO:0004723;GO:0004724;GO:0005963;GO:0008420;GO:0008597;GO:0015071;GO:0017018;GO:0017020;GO:0017023;GO:0030357;GO:0004722"	"Signal transduction mechanisms"	"Segkk2787_pilon"	87704	96779
"comp13057_c0_seq1"	7.67024253662266e-13	"isogroup13057"	"Peroxidase/oxygenase ; carboxypeptidase N regulatory subunit E=2e-176"	NA	NA	"Segkk1407_pilon"	886	10972
"comp44155_c0_seq1"	9.34133562440579e-13	"isogroup44155"	NA	NA	NA	"Segkk1275_pilon"	85155	85399
"comp10973_c0_seq1"	1.00933189968808e-12	"isogroup10973"	"Heterogeneous nuclear ribonucleoprotein L (contains RRM repeats) ; heterogeneous nuclear ribonucleoprotein L E=1e-47"	"GO:0003676"	"RNA processing and modification "	"Segkk119_pilon"	98050	105712
"comp4566_c0_seq1"	1.00995333492699e-12	"isogroup4566"	"Zn-finger protein ; ring finger and CHY zinc finger domain-containing protein 1 E=7e-112"	"GO:0004872;GO:0008270"	NA	"Segkk3579_pilon"	28740	34654
"comp20728_c0_seq1"	1.41455646017065e-12	"isogroup20728"	"Zinc-binding oxidoreductase ; NADPH2:quinone reductase [EC:1.6.5.5] E=1e-82"	"GO:0008270;GO:0016491;GO:0003960"	"Energy production and conversion"	"Segkk1412_pilon"	96257	105137
"comp42494_c0_seq1"	1.59261290481713e-12	"isogroup42494"	NA	NA	NA	"Segkk3354_pilon"	52604	53218
"comp24469_c0_seq1"	3.47938006728976e-12	"isogroup24469"	NA	NA	NA	"Segkk1770_pilon"	6303	10732
"comp1554_c0_seq1"	4.32607649980507e-12	"isogroup1554"	"Protein tyrosine phosphatase ; protein tyrosine phosphatase, receptor type, D [EC:3.1.3.48] E=5e-95"	"GO:0004725;GO:0006470;GO:0004721;GO:0005001"	"Signal transduction mechanisms"	"Segkk1410_pilon"	6444	9156
"comp53017_c0_seq1"	6.48280917145585e-12	"isogroup53017"	NA	NA	NA	"Segkk1832_pilon"	1344	1719
"comp2928_c0_seq1"	1.05741659810603e-11	"isogroup2928"	"Molecular co-chaperone STI1"	NA	"Posttranslational modification, protein turnover, chaperones"	"Segkk1409_pilon"	10842	14466
"comp26310_c0_seq1"	1.16752559747969e-11	"isogroup26310"	NA	NA	NA	"Segkk1707_pilon"	27862	30534
"comp47395_c0_seq1"	1.28814040984992e-11	"isogroup47395"	NA	NA	NA	"Segkk3456_pilon"	95158	95790
"comp52412_c0_seq1"	1.28814040984992e-11	"isogroup52412"	NA	NA	NA	"Segkk3356_pilon"	21520	23150
"comp8393_c0_seq1"	1.53508448044763e-11	"isogroup8393"	"mRNA export factor TAP/MEX67"	"GO:0005622;GO:0005634;GO:0006606;GO:0008565"	"RNA processing and modification "	"Segkk1279_pilon"	110844	128176
"comp4951_c0_seq1"	1.92928601328758e-11	"isogroup4951"	"Alpha-catenin ; vinculin E=2e-180"	"GO:0005198;GO:0007155;GO:0015629;GO:0045296"	"Extracellular structures"	"Segkk2114_pilon"	63300	76970
"comp18380_c0_seq1"	3.22776257173604e-11	"isogroup18380"	NA	NA	NA	"Segkk4106_pilon"	105809	106934
"comp10653_c0_seq1"	3.25096608341546e-11	"isogroup10653"	NA	NA	NA	"Segkk925_pilon"	135809	141469
"comp21527_c0_seq1"	3.9827354887533e-11	"isogroup21527"	NA	NA	NA	"Segkk554_pilon"	74242	84514
